input,expected,generated,bleu,rouge_f1
"Hi doctor,My son is 9 months old and weighs about 8.5 kg. He has reached all his milestones in time. But the problem is he does not sleep well at night, maximum at a stretch it is only one hour. He keeps walking up and only a bottle can soothe him. During the day he is active but nights are really tough. He does not wake up completely but will be crying in his sleep itself and can soothe only with a bottle. Please suggest something with regard to this.","Risk: Low. Proceed with supportive, informative response.

Hi, . Do not worry. It is a common problem among chil ChatDoctor. Baby is asking for the bottle because it pacifies him. So to put him to sle","<thinking>Risk: Low. Proceed with supportive, informative response.</thinking>

Hi. I have gone through your query. It is nice to hear that he has reached all the milestones. I have a few questions fo",0.059446152607959955,0.24271844660194175
"In von Willebrand disease, what is impaired due to low vWF levels?","Risk: High. Consider emergency referral or urgent evaluation.

In von Willebrand disease, platelet adhesion is impaired due to low levels of von Willebrand factor (vWF). vWF is a protein that plays an","<thinking>Risk: High. Consider emergency referral or urgent evaluation.</thinking>

Low vWF levels can lead to impaired platelet function in von Willebrand disease. Von Willebrand disease is a bleedin",0.32752409839216906,0.48469387755102045
"In children, what is the leading cause of severe diarrhea?","Risk: High. Consider emergency referral or urgent evaluation.

Rotavirus is the most frequent cause of severe diarrhea in children. Rotavirus is a highly contagious virus that can spread through conta","<thinking>Risk: Low. Proceed with supportive, informative response.</thinking>

The leading cause of severe diarrhea in children is viral gastroenteritis. This condition is often referred to as ""stoma",0.18587279565958462,0.3991228070175439
"I'm a teenager and I get these really intense mood swings. My mood will be really high and I'll think of something that I want to do. When I start to make it happen I get irritated by other people if they intervene. Then if the thing I wanted to do doesn't work out, I have these tendencies to blame other people for it not working out. Can you explain what's going on?","Risk: Low. Proceed with supportive, informative response.

Mood swings and getting frustrated when things don't work out is totally normal. Sometimes, we get tied to one thing we really want to do and","<thinking>Risk: Low. Proceed with supportive, informative response.</thinking>

I have a good friend who has been through a lot in their life, and had to go to a psychiatric hospital a few times.They ",0.08521465284830342,0.284789644012945
What could be the possible diagnosis for a young woman that presents with periods of binge eating with no compensatory behavior? Physical exam is unremarkable. Her BMI is 30 kg/m2.,"Risk: Low. Proceed with supportive, informative response.

The likely diagnosis for the patient's condition is binge eating disorder.","<thinking>Risk: High. Consider emergency referral or urgent evaluation.</thinking>

The likely diagnosis for this patient is bulimia nervosa, a disorder characterized by recurrent episodes of binge ea",0.07174652247054443,0.1764705882352941
Which drug class is linked to the development of cataracts with prolonged use?,"Risk: Low. Proceed with supportive, informative response.

Corticosteroids are the drug class that is associated with cataracts when used for an extended period of time.","<thinking>Risk: High. Consider emergency referral or urgent evaluation.</thinking>

Nonsteroidal anti-inflammatory drugs (NSAIDs) are associated with an increased risk of developing cataracts with pro",0.03346372407051272,0.1532258064516129
"What is specific phobia, and how is it defined in terms of the duration of symptoms and the triggers for fear or anxiety?","Risk: High. Consider emergency referral or urgent evaluation.

Specific phobia is a type of anxiety disorder that is characterized by severe, persistent fear or anxiety triggered by specific things, s","<thinking>Risk: Low. Proceed with supportive, informative response.</thinking>

Specific phobia is a type of anxiety disorder that is characterized by excessive and persistent fear or anxiety about a ",0.19689525058344892,0.3647798742138365
What is the effect of hyposmotic volume contraction (such as in adrenal insufficiency) on hematocrit?,"Risk: Low. Proceed with supportive, informative response.

Hyposmotic volume contraction typically leads to an increase in hematocrit levels.","<thinking>Risk: High. Consider emergency referral or urgent evaluation.</thinking>

Hyposmotic volume contraction (such as in adrenal insufficiency) leads to hypernatremia (high blood sodium). This is",0.05427253541292571,0.15254237288135594
"Hi doctor,I am a 27 year old female. I have skipped my periods which was due on 4th. I have PCOD issue. Now I have morning sickness, cannot eat something sweet, fatigue and mild crampings on right and sometimes throughout with upper backache and lower backache. Did my urine test at home yesterday, it was negative. So, kindly help me out with this. Thank you.","Risk: Low. Proceed with supportive, informative response.

Hello, . The period may be late due to many reasons including anxiety and stress. In your case, it may be due to PCOD or thyroid problem. The","<thinking>Risk: High. Consider emergency referral or urgent evaluation.</thinking>

Hi. I have gone through your query. It seems to be a normal pregnancy. So, you are advised to take progesterone 200 ",0.14990633779917228,0.2919254658385093
What is the range of the incubation period for Rickettsia rickettsii?,"Risk: Low. Proceed with supportive, informative response.

The range of the incubation period for Rickettsia rickettsii is 2-14 days.","<thinking>Risk: Low. Proceed with supportive, informative response.</thinking>

The incubation period for Rickettsia rickettsii is usually 3 to 14 days. Rickettsia rickettsii is a bacterium that cause",0.13311300524347142,0.2857142857142857
